,NAME,WEB_NAME,TEAM,RK,POSITION,COST,AGE,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,MINUTES_PER_ASSIST,MINUTES_PER_GOAL,MINUTES_PER_GAME,MINUTES_PER_POINT,MINUTES_PER_XG,MINUTES_PER_XA,xg_diff,xa_diff
49,jordan pickford,Pickford,Everton,15,GK,50,29,38,38,3420,0,0,0,0,5,0,0.0,0.1,1,51,13,121,153,3510.0,3510.0,90.0,22.352941176470587,35100.0,34200.0,0.0,-0.1
50,jaden philogene,Jaden,Aston Villa,4,MF,55,21,1,0,4,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,3510.0,3510.0,4.0,4.0,35100.0,35100.0,0.0,0.0
51,danilo dos santos de oliveira,Danilo,Nott'm Forest,17,MF,50,22,29,20,1792,2,2,0,0,4,0,1.8,1.5,0,42,1,0,65,896.0,896.0,61.793103448275865,27.56923076923077,995.5555555555555,1194.6666666666667,0.19999999999999996,0.5
52,matt doherty,Doherty,Wolves,14,DF,45,31,30,9,1150,1,0,0,0,2,0,0.8,1.3,0,21,1,0,41,3510.0,1150.0,38.333333333333336,28.048780487804876,1437.5,884.6153846153846,0.19999999999999996,-1.3
53,calvin bassey,Bassey,Fulham,13,DF,45,23,29,25,2303,1,0,0,0,6,1,0.3,0.0,0,42,6,0,66,3510.0,2303.0,79.41379310344827,34.89393939393939,7676.666666666667,35100.0,0.7,0.0
54,james mcatee,McAtee,Man City,1,MF,50,20,1,0,1,0,0,0,0,0,0,0.0,0.0,0,65,2,0,77,3510.0,3510.0,1.0,0.012987012987012988,35100.0,35100.0,0.0,0.0
55,alexander isak,Isak,Newcastle,7,FW,85,23,30,27,2255,21,2,5,1,1,0,20.3,3.7,0,41,7,0,172,1127.5,107.38095238095238,75.16666666666667,13.11046511627907,111.08374384236453,609.4594594594595,0.6999999999999993,-1.7000000000000002
56,cole palmer,Palmer,Chelsea,6,MF,105,21,1,0,11,0,0,0,0,0,0,0.0,0.0,0,46,7,0,244,3510.0,3510.0,11.0,0.045081967213114756,35100.0,35100.0,0.0,0.0
57,james maddison,Maddison,Spurs,5,MF,75,26,28,26,2135,4,9,0,0,5,0,6.4,5.9,0,31,7,0,117,237.22222222222223,533.75,76.25,18.247863247863247,333.59375,361.864406779661,-2.4000000000000004,3.0999999999999996
58,kyle walker-peters,Walker-Peters,Southampton,20,DF,45,33,32,30,2767,0,4,0,0,2,0,0.4,2.6,0,29,10,0,123,691.75,3510.0,86.46875,22.495934959349594,6917.5,1064.2307692307693,-0.4,1.4
59,jhon duran,Duran,Aston Villa,4,FW,60,19,23,3,475,5,0,0,0,5,0,2.0,0.3,0,12,0,0,50,3510.0,95.0,20.652173913043477,9.5,237.5,1583.3333333333335,3.0,-0.3
60,kyle walker,Walker,Man City,1,DF,55,33,32,30,2767,0,4,0,0,2,0,0.4,2.6,0,29,10,0,123,691.75,3510.0,86.46875,22.495934959349594,6917.5,1064.2307692307693,-0.4,1.4
61,omari kellyman,Kellyman,Chelsea,6,MF,45,17,2,0,37,0,0,0,0,0,0,0.1,0.0,0,1,0,0,2,3510.0,3510.0,18.5,18.5,370.0,35100.0,-0.1,0.0
62,alisson ramses becker,A.Becker,Liverpool,3,GK,55,30,28,28,2520,0,0,0,0,1,0,0.0,0.0,0,30,8,83,107,3510.0,3510.0,90.0,23.55140186915888,35100.0,35100.0,0.0,0.0
63,william osula,Osula,Newcastle,7,FW,50,19,21,9,786,0,0,0,0,4,0,1.6,0.1,0,23,0,0,25,3510.0,3510.0,37.42857142857143,31.44,491.25,7860.0,-1.6,-0.1
64,kalvin phillips,Phillips,Man City,1,MF,50,27,4,0,93,0,0,0,0,0,0,0.1,0.0,0,13,0,0,10,3510.0,3510.0,23.25,9.3,930.0,35100.0,-0.1,0.0
65,dominic solanke-mitchell,Solanke,Spurs,5,FW,75,25,38,37,3325,19,3,2,1,3,0,19.6,3.0,0,61,10,0,175,1108.3333333333333,175.0,87.5,19.0,169.64285714285714,1108.3333333333333,-0.6000000000000014,0.0
66,aaron cresswell,Cresswell,West Ham,9,DF,40,33,11,4,436,0,0,0,0,1,0,0.0,0.4,0,11,0,0,10,3510.0,3510.0,39.63636363636363,43.6,35100.0,1090.0,0.0,-0.4
67,chris richards,C.Richards,Crystal Palace,10,DF,45,23,26,23,2094,1,1,0,0,3,0,0.6,0.4,0,38,4,0,62,2094.0,2094.0,80.53846153846153,33.774193548387096,3490.0,5235.0,0.4,0.6
68,virgil van dijk,Virgil,Liverpool,3,DF,60,32,36,36,3177,2,2,0,0,3,1,2.8,1.6,0,40,9,0,117,1588.5,1588.5,88.25,27.153846153846153,1134.642857142857,1985.625,-0.7999999999999998,0.3999999999999999
69,igor thiago nascimento rodrigues,Thiago,Brentford,16,FW,60,25,24,17,1637,0,0,0,0,4,0,0.3,0.7,0,0,0,0,0,3510.0,3510.0,68.20833333333333,270.0,5456.666666666667,2338.571428571429,-0.3,-0.7
70,igor julio dos santos de paulo,Igor,Brighton,11,DF,45,25,24,17,1637,0,0,0,0,4,0,0.3,0.7,0,26,2,0,37,3510.0,3510.0,68.20833333333333,44.24324324324324,5456.666666666667,2338.571428571429,-0.3,-0.7
71,ivan toney,Toney,Brentford,16,FW,75,27,17,16,1450,4,2,0,0,5,0,6.0,1.5,0,30,3,0,57,725.0,362.5,85.29411764705883,25.43859649122807,241.66666666666666,966.6666666666666,-2.0,0.5
72,cody gakpo,Gakpo,Liverpool,3,FW,75,24,35,17,1649,8,5,0,0,1,0,9.0,2.9,0,20,5,0,106,329.8,206.125,47.114285714285714,15.556603773584905,183.22222222222223,568.6206896551724,-1.0,2.1
73,jason steele,Steele,Brighton,11,GK,45,32,17,17,1530,0,0,0,0,0,0,0.0,0.0,0,34,2,43,42,3510.0,3510.0,90.0,36.42857142857143,35100.0,35100.0,0.0,0.0
74,aaron ramsdale,Ramsdale,Arsenal,2,GK,45,25,6,6,540,0,0,0,0,0,0,0.0,0.0,0,5,2,9,20,3510.0,3510.0,90.0,27.0,35100.0,35100.0,0.0,0.0
75,keane lewis-potter,Lewis-Potter,Brentford,16,MF,50,22,30,15,1441,3,1,0,0,0,0,6.3,1.7,0,29,6,0,73,1441.0,480.3333333333333,48.03333333333333,19.73972602739726,228.73015873015873,847.6470588235294,-3.3,-0.7
76,declan rice,Rice,Arsenal,2,MF,65,24,38,37,3225,7,8,0,0,5,0,3.3,5.3,0,28,17,0,165,403.125,460.7142857142857,84.86842105263158,19.545454545454547,977.2727272727274,608.4905660377359,3.7,2.7
77,lewis dunk,Dunk,Brighton,11,DF,45,31,33,33,2869,3,1,0,0,7,1,3.1,0.9,0,53,5,0,89,2869.0,956.3333333333334,86.93939393939394,32.235955056179776,925.483870967742,3187.777777777778,-0.10000000000000009,0.09999999999999998
