NAME,AGE,TEAM_RANK,POSITION,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,NEXT_SEASON_POINTS
marcos alonso,29,4.0,DF,13,11,960,2,0,0,0,2,0,1.8,1.3,0,13,5,0,57,128
alex oxlade-chamberlain,26,3.0,"MF,FW",13,2,253,1,1,0,0,0,0,0.3,0.3,0,6,0,0,21,42
ainsley maitland-niles,22,13.5,MF,26,19,1720,0,0,0,0,2,0,0.7,0.79999999999999993,0,46,12,0,136,12
scott mctominay,23,2.0,MF,32,24,2129,4,1,0,0,3,0,2.1,1.7,0,25,9,0,91,68
luke shaw,25,2.0,DF,32,30,2654,1,5,0,0,8,0,0.6,6.4,1,33,10,0,124,46
nathaniel phillips,23,3.0,DF,17,15,1456,1,1,0,0,2,0,1.0,0.6,0,11,7,0,68,0
luka milivojevic,29,14.0,MF,31,27,2359,1,1,1,1,8,1,2.4,1.7,0,47,7,0,63,19
andriy yarmolenko,30,6.0,"FW,MF",15,1,375,0,1,0,0,3,0,0.3,0.8,0,7,1,0,17,25
naby keita,25,3.0,MF,10,7,520,0,0,0,0,1,0,0.4,0.6,0,8,2,0,15,65
jarrod bowen,23,6.0,"FW,MF",38,30,2562,8,5,0,0,0,0,7.1,5.0,0,33,9,0,141,206
joel veltman,28,16.0,DF,28,25,2281,1,1,0,0,3,0,1.1,1.7,0,27,9,0,96,95
ryan fraser,26,12.0,"FW,MF",18,9,928,0,2,0,0,2,1,0.9,2.0,0,18,4,0,39,78
ben godfrey,22,10.0,DF,31,29,2685,0,2,0,0,4,0,1.0,0.8,1,35,11,0,100,45
fabio silva,18,13.0,FW,32,11,1369,4,3,1,0,2,0,5.3,1.0,0,29,0,0,72,30
liam cooper,28,9.0,DF,25,25,2185,1,0,0,0,4,1,1.8,0.0,0,41,6,0,59,60
andrew robertson,26,3.0,DF,38,38,3383,1,7,0,0,2,0,1.5,6.6,0,42,12,0,161,186
aaron ramsey,26,6.0,MF,24,21,1846,7,8,0,0,0,0,6.1,5.4,0,25,9,0,130,91
reiss nelson,17,6.0,"FW,MF",3,2,145,0,0,0,0,0,0,0.1,0.0,0,3,0,0,5,0
oleksandr zinchenko,20,1.0,DF,8,6,532,0,0,0,0,1,0,0.1,0.4,0,3,3,0,16,44
vincent janssen,23,3.0,DF,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,3
divock origi,22,4.0,FW,1,0,10,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,32
leroy sane,21,1.0,FW,32,27,2419,10,15,0,0,4,0,5.8,6.8,0,22,12,0,179,156
troy deeney,29,14.0,FW,29,20,1844,5,2,3,2,1,1,6.9,2.8,0,30,6,0,73,116
nicolas otamendi,29,1.0,DF,34,33,2967,4,0,0,0,9,0,2.7,0.9,1,25,15,0,156,70
rob holding,21,6.0,DF,12,9,822,0,0,0,0,3,0,0.1,0.0,0,17,3,0,27,24
jacob murphy,22,10.0,"MF,FW",25,13,1148,1,1,0,0,0,0,1.8,1.3,0,25,2,0,51,16
joel matip,25,4.0,DF,25,22,1997,1,0,0,0,3,0,1.9,0.3,0,27,9,0,81,83
jamie vardy,30,9.0,FW,37,37,3247,20,1,5,1,3,0,16.1,3.0,0,57,8,0,183,174
younes kaboul,31,14.0,DF,2,2,150,0,0,0,0,0,0,0.0,0.0,0,3,1,0,7,0
tom heaton,31,7.0,GK,4,4,305,0,0,0,0,0,0,0.0,0.0,0,4,0,8,8,58
kevin long,26,7.0,DF,16,16,1440,1,2,0,0,1,0,1.2,1.3,1,21,4,0,57,16
florian lejeune,26,10.0,DF,24,24,2103,0,2,0,0,3,0,0.6,1.5,0,32,5,0,66,35
pablo zabaleta,32,13.0,"DF,MF",37,37,3289,0,1,0,0,9,0,0.4,0.9,1,62,10,0,90,56
joe hart,30,13.0,GK,19,19,1710,0,1,0,0,0,0,0.0,0.7,0,39,4,54,59,69
ryan bertrand,27,17.0,DF,35,35,3135,0,4,0,0,2,0,1.7,3.1,0,49,8,0,103,56
david luiz,30,5.0,"DF,MF",10,9,840,1,0,0,0,4,1,0.9,0.0,0,13,3,0,32,164
toby alderweireld,28,3.0,DF,14,13,1178,0,0,0,0,3,0,0.4,0.1,0,13,5,0,43,107
jack wilshere,25,6.0,MF,20,12,1193,1,3,0,0,6,0,1.1,2.6,0,16,4,0,46,17
