NAME,AGE,TEAM_RANK,POSITION,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,NEXT_SEASON_POINTS
paulo gazzaniga,25,3.0,GK,1,1,90,0,0,0,0,0,0,0.0,0.0,0,0,1,3,9,13
florent hadergjonaj,23,16.0,"DF,MF",23,19,1674,0,1,0,0,3,0,0.3,1.5,0,28,4,0,51,50
paul dummett,25,10.0,DF,20,19,1602,0,0,0,0,1,0,0.3,0.3,0,18,5,0,52,67
anthony martial,21,2.0,FW,30,18,1582,9,5,1,0,1,0,6.3,5.1,0,13,9,0,125,122
phil bardsley,32,7.0,DF,13,13,1125,0,0,0,0,5,0,0.0,0.3,0,13,4,0,33,33
jermain defoe,34,12.0,FW,24,11,1088,4,1,0,0,1,0,3.5,1.1,0,21,2,0,60,4
michail antonio,27,13.0,"FW,MF",21,16,1354,3,1,0,0,1,0,2.4,1.0,0,23,7,0,62,118
federico fernandez,28,18.0,DF,30,30,2676,1,1,0,0,5,0,0.7,0.7,1,44,7,0,85,47
ainsley maitland-niles,19,6.0,"DF,MF",15,8,914,0,0,0,0,1,0,0.2,0.9,0,16,3,0,25,34
sam byram,23,13.0,"DF,MF",5,2,248,0,0,0,0,1,0,0.3,0.1,0,7,0,0,5,0
davide zappacosta,25,5.0,"DF,MF",22,12,1098,1,1,0,0,0,0,1.4,1.3,0,15,5,0,58,9
isaac hayden,22,10.0,MF,26,15,1374,1,0,0,0,7,0,1.0,0.6,0,25,3,0,41,69
romelu lukaku,24,2.0,FW,34,33,2867,16,7,0,1,4,0,13.2,4.7,0,26,14,0,162,115
james tarkowski,24,7.0,DF,31,31,2790,0,0,0,0,5,0,1.4,0.8,0,30,11,0,101,97
mamadou sakho,27,11.0,DF,19,18,1600,1,2,0,0,1,0,1.2,1.1,0,23,6,0,81,88
john stones,23,1.0,DF,18,16,1302,0,0,0,0,0,0,0.8,0.0,0,11,9,0,70,83
ciaran clark,27,10.0,DF,20,19,1746,2,1,0,0,3,0,1.7,0.7,0,30,4,0,64,42
harvey barnes,19,9.0,"MF,FW",3,0,10,0,0,0,0,0,0,0.1,0.0,0,0,0,0,3,43
james mcarthur,29,11.0,MF,33,27,2431,5,1,0,0,5,0,3.7,2.2,0,35,7,0,101,121
vicente iborra,29,9.0,MF,19,17,1410,3,0,0,0,0,0,1.7,0.5,0,23,3,0,58,9
mohamed salah,25,4.0,FW,36,34,2907,32,10,1,1,1,0,24.1,7.5,0,29,15,0,303,259
christopher schindler,27,16.0,DF,37,37,3265,0,1,0,0,7,2,1.1,2.3,0,53,9,0,102,76
mohamed elneny,25,6.0,MF,13,11,867,0,1,0,0,3,1,0.3,0.9,0,12,3,0,22,10
shane duffy,25,15.0,DF,37,37,3292,0,1,0,0,8,0,2.3,1.1,0,52,10,0,100,115
steven davis,32,17.0,MF,23,17,1521,3,0,0,0,0,0,0.9,1.1,0,21,4,0,71,9
nemanja matic,28,2.0,MF,36,35,3118,1,1,0,0,6,0,0.7,1.6,0,26,16,0,91,59
manolo gabbiadini,25,17.0,FW,28,11,1081,5,0,1,0,2,0,2.5,0.5,0,17,4,0,66,23
alex mccarthy,27,17.0,GK,18,18,1620,0,0,0,0,2,0,0.0,0.0,0,26,4,42,52,73
arthur masuaku,23,13.0,DF,27,21,1870,0,3,0,0,5,0,0.3,2.0,0,29,6,0,68,49
simon mignolet,29,4.0,GK,19,19,1710,0,0,0,0,3,0,0.0,0.0,0,24,7,36,67,0
aaron wan-bissaka,19,11.0,DF,7,7,627,0,0,0,0,1,0,0.0,0.2,0,10,2,0,15,120
serge aurier,24,3.0,DF,17,16,1429,2,2,0,0,2,2,0.8,2.6,0,13,6,0,77,24
ross barkley,23,5.0,MF,2,2,129,0,0,0,0,0,0,0.8,0.1,0,4,0,0,3,79
eric bailly,23,2.0,DF,13,11,1001,1,0,0,0,2,0,1.1,0.2,1,6,7,0,55,16
dominic calvert-lewin,20,8.0,FW,32,18,1882,4,6,0,0,4,0,4.9,2.6,0,28,6,0,88,92
michy batshuayi,23,5.0,FW,12,3,360,2,1,0,0,0,0,1.1,0.1,1,7,1,0,25,48
brahim diaz,17,1.0,"FW,DF",5,0,55,0,0,0,0,0,0,0.5,0.0,0,1,0,0,5,0
pedro obiang,25,13.0,MF,21,18,1563,2,0,0,0,3,0,0.4,0.4,0,29,5,0,54,43
james milner,31,4.0,MF,32,16,1775,0,3,0,0,3,0,1.1,3.2,0,25,6,0,77,101
lys mousset,21,12.0,"FW,MF",23,4,596,2,0,0,0,1,0,1.2,0.8,0,16,1,0,36,28
adrian mariappa,30,14.0,DF,28,24,2210,0,0,0,0,4,0,0.7,0.2,0,43,6,0,58,57
ashley young,32,2.0,DF,30,28,2442,2,4,0,0,7,0,0.8,3.6,0,26,9,0,98,73
marcus rashford,19,2.0,"FW,MF",35,17,1813,7,5,0,0,3,0,5.2,3.8,0,16,10,0,104,128
nathaniel clyne,26,4.0,"DF,FW",3,2,174,0,0,0,0,1,0,0.1,0.1,0,1,1,0,7,34
adrian,30,13.0,GK,76,76,6840,0,0,0,0,8,0,0.0,0.0,0,144,24,138,260,57
alexandre lacazette,26,6.0,FW,32,26,2202,14,4,2,0,1,0,13.7,4.4,0,28,10,0,138,166
seamus coleman,28,8.0,DF,12,12,1035,0,1,0,0,0,0,1.0,0.7,0,12,4,0,39,125
hector bellerin,22,6.0,DF,35,34,3051,2,3,0,0,5,0,2.2,3.9,0,44,12,0,132,60
collin quaner,26,16.0,"FW,MF",26,13,1280,0,4,0,0,4,0,1.4,2.5,0,23,3,0,44,2
wayne hennessey,30,11.0,GK,27,27,2430,0,0,0,0,1,0,0.0,0.5,0,41,7,91,99,67
james mccarthy,26,8.0,MF,4,3,205,0,0,0,0,0,0,0.1,0.0,0,6,0,0,6,1
michael obafemi,17,17.0,FW,1,0,9,0,0,0,0,0,0,0.4,0.0,0,0,0,0,1,13
lee grant,34,19.0,GK,3,3,270,0,0,0,0,0,0,0.0,0.0,0,7,0,8,5,0
jack simpson,20,12.0,DF,1,1,71,0,0,0,0,0,0,0.0,0.0,0,2,0,0,1,10
daniel amartey,22,9.0,DF,8,6,487,0,0,0,0,1,2,0.0,0.0,0,7,3,0,13,15
claudio bravo,34,1.0,GK,3,2,226,0,0,0,0,0,0,0.0,0.0,0,1,1,4,10,0
andrew robertson,23,4.0,DF,22,22,1940,1,5,0,0,2,0,0.5,4.1,0,18,10,0,111,213
victor lindelof,23,2.0,DF,17,13,1285,0,0,0,0,1,0,0.0,0.3,0,14,5,0,47,85
tyrone mings,24,12.0,DF,4,3,201,0,0,0,0,1,0,0.0,0.1,0,5,0,0,3,5
edimilson fernandes,21,13.0,"MF,DF",14,9,845,0,1,0,0,1,0,0.3,0.3,0,20,2,0,29,0
asmir begovic,30,12.0,GK,38,38,3420,0,0,0,0,2,0,0.0,0.0,0,61,6,111,112,63
shane long,30,17.0,FW,30,15,1582,2,1,0,0,6,0,3.7,1.3,0,28,4,0,53,66
mousa dembele,30,3.0,MF,28,21,1879,0,0,0,0,6,0,0.4,0.7,0,22,7,0,52,14
shinji okazaki,31,9.0,"FW,MF",27,17,1324,6,2,0,0,2,0,6.7,2.0,0,19,5,0,76,25
danny ings,25,4.0,FW,8,3,267,1,0,0,0,0,0,1.1,0.1,0,0,3,0,18,90
cedric soares,25,17.0,DF,32,32,2794,0,3,0,0,3,0,0.7,3.1,0,44,7,0,85,52
aymeric laporte,23,1.0,DF,9,9,806,0,0,0,0,1,0,0.1,0.1,0,5,4,0,35,177
nathan redmond,23,17.0,"FW,MF",31,22,1945,1,3,0,0,3,0,2.2,3.6,0,31,7,0,72,137
riyad mahrez,26,9.0,"MF,FW",36,34,2950,12,10,0,0,2,0,6.5,7.2,0,51,9,0,195,102
gaetan bong,29,15.0,DF,25,25,2236,0,0,0,0,2,0,0.1,0.5,1,36,6,0,63,48
ilkay gundogan,26,1.0,MF,30,15,1517,4,1,1,0,3,0,3.0,1.7,0,15,6,0,82,113
cenk tosun,26,8.0,FW,14,12,986,5,0,0,0,0,0,2.8,1.4,0,13,4,0,55,56
fraser forster,29,17.0,GK,20,20,1800,0,0,0,0,0,0,0.0,0.0,0,30,4,69,73,2
dan gosling,27,12.0,MF,28,21,1947,2,1,0,0,8,0,2.1,0.9,0,41,1,0,59,54
ayoze perez,24,10.0,"MF,FW",36,28,2492,8,5,0,0,3,0,6.2,4.7,1,28,8,0,124,141
tom cleverley,27,14.0,MF,23,22,1902,1,2,0,1,2,2,1.9,1.6,0,33,6,0,58,25
antonio rudiger,24,5.0,DF,27,25,2338,2,1,0,0,4,0,1.7,0.4,0,22,12,0,115,116
terence kongolo,23,16.0,DF,13,11,1049,0,0,0,0,0,0,0.3,0.1,0,14,2,0,30,60
steven defour,29,7.0,MF,24,24,1997,1,1,0,0,6,0,0.8,1.1,0,17,12,0,62,10
steve cook,26,12.0,DF,34,31,2767,2,1,0,0,5,0,1.6,1.0,1,53,5,0,83,85
charlie austin,28,17.0,FW,24,10,1037,7,0,1,0,2,0,7.1,0.8,0,15,4,0,72,46
jan vertonghen,30,3.0,DF,36,36,3203,0,0,0,0,4,0,1.0,0.8,0,31,16,0,138,67
jordan ayew,25,18.0,"FW,MF",36,33,2852,7,2,1,0,2,1,7.3,2.0,0,49,7,0,108,46
nick pope,25,7.0,GK,35,34,3115,0,0,0,0,3,0,0.0,0.5,0,35,11,113,152,0
emerson palmieri,22,5.0,DF,5,3,280,0,1,0,0,0,0,0.1,0.0,0,4,1,0,14,22
abdelhamid sabiri,20,16.0,MF,5,2,220,0,1,0,0,1,0,0.3,0.1,0,5,1,0,10,2
tiemoue bakayoko,22,5.0,MF,29,24,2126,2,2,0,0,4,2,3.2,1.2,0,24,11,0,77,0
ashley barnes,27,7.0,FW,36,21,2165,9,0,0,0,10,0,6.7,1.6,0,23,5,0,92,122
mathew ryan,25,15.0,GK,38,38,3420,0,0,0,0,0,0,0.0,0.0,0,54,10,124,146,104
rajiv van la parra,26,16.0,"FW,MF",33,26,2137,3,0,1,0,3,1,3.1,0.9,0,36,6,0,74,10
adam lallana,29,4.0,"MF,FW",12,1,308,0,0,0,0,1,0,1.5,0.4,0,1,1,0,13,23
oriol romeu,25,17.0,MF,34,34,2897,1,0,0,0,11,0,2.6,1.4,0,47,8,0,68,55
leighton baines,32,8.0,DF,22,22,1909,2,3,2,0,1,0,2.1,1.9,0,34,5,0,82,7
kevin mirallas,29,8.0,"FW,MF",5,2,138,0,0,0,0,1,0,0.2,0.1,0,8,0,0,5,0
phil jones,25,2.0,DF,23,23,1973,0,0,0,0,2,0,0.4,0.1,1,11,15,0,116,43
mason holgate,20,8.0,DF,15,13,1184,0,0,0,0,3,0,0.6,0.6,0,14,4,0,37,5
andros townsend,26,11.0,"FW,MF",36,35,3120,2,7,0,0,3,0,3.0,7.2,0,48,9,0,121,135
daniel sturridge,27,12.0,FW,15,7,549,2,1,0,0,0,0,2.4,1.0,0,16,6,0,64,34
ashley williams,32,8.0,DF,24,20,1834,1,0,0,0,3,1,0.8,0.3,0,31,5,0,56,0
simon francis,32,12.0,DF,32,31,2705,0,1,0,0,9,2,0.6,1.5,0,47,4,0,56,40
alex pritchard,24,16.0,"MF,FW",14,12,998,1,1,0,0,1,0,1.2,1.9,0,12,3,0,40,69
callum wilson,25,12.0,FW,28,23,1981,8,2,0,0,0,0,7.6,1.5,0,33,6,0,102,168
victor moses,26,5.0,"DF,MF",28,25,2110,3,3,0,0,3,0,3.0,2.4,0,20,11,0,131,2
laurent koscielny,31,6.0,DF,25,25,2225,2,0,0,0,4,0,1.9,0.4,0,32,9,0,100,62
jordon ibe,21,12.0,"MF,FW",32,22,1995,2,6,0,0,1,0,3.0,3.3,0,33,4,0,85,33
moussa sissoko,27,3.0,"MF,FW",32,15,1386,1,1,0,0,3,0,2.2,2.2,0,18,7,0,58,76
ramadan sobhi,20,19.0,"MF,FW",24,12,1238,2,0,0,0,2,0,1.2,1.0,0,30,2,0,51,4
christian fuchs,31,9.0,DF,25,21,1921,0,1,0,0,1,0,0.5,1.2,1,35,4,0,57,3
eldin jakupovic,32,9.0,GK,2,2,180,0,0,0,0,0,0,0.0,0.0,0,6,0,8,4,0
winston reid,29,13.0,DF,17,17,1452,0,0,0,0,5,0,0.3,0.3,0,27,5,0,42,0
karl darlow,26,10.0,GK,10,10,900,0,0,0,0,0,0,0.0,0.0,1,15,2,35,33,0
cesc fabregas,30,5.0,MF,32,25,2307,2,4,0,0,5,2,2.4,6.8,0,26,11,0,89,6
tommy smith,25,16.0,DF,24,21,1904,0,1,0,0,7,0,0.2,1.8,0,31,5,0,50,9
luka milivojevic,26,11.0,MF,36,35,3080,10,1,7,1,8,0,8.2,1.0,0,52,8,0,144,166
ruben loftus-cheek,21,11.0,MF,24,21,1874,2,3,0,0,1,0,3.5,3.2,0,30,6,0,77,79
matteo darmian,27,2.0,DF,8,5,444,0,0,0,0,0,0,0.0,0.0,0,3,3,0,27,14
deandre yedlin,24,10.0,DF,34,31,2845,0,2,0,0,5,0,0.2,2.0,1,37,7,0,88,63
fernando llorente,32,3.0,"FW,MF",16,1,238,1,0,0,0,1,0,1.0,0.2,0,2,1,0,22,41
chancel mbemba,22,10.0,DF,9,7,672,0,0,0,0,0,0,0.0,0.5,0,11,1,0,20,0
nahki wells,27,7.0,"FW,MF",9,0,55,0,0,0,0,0,0,0.6,0.0,0,3,0,0,9,0
calum chambers,22,6.0,DF,12,10,866,0,0,0,0,1,0,1.4,0.1,0,14,2,0,23,60
andreas christensen,21,5.0,DF,27,23,2086,0,0,0,0,0,0,0.9,0.1,0,23,8,0,79,22
davinson sanchez,21,3.0,DF,31,29,2534,0,0,0,0,1,1,0.5,0.1,1,21,13,0,107,78
trent alexander-arnold,18,4.0,DF,19,18,1573,1,1,0,0,3,0,1.0,2.6,0,17,8,0,83,185
vincent kompany,31,1.0,DF,17,17,1394,1,1,0,0,6,0,0.8,0.5,0,11,6,0,60,58
yannick bolasie,28,8.0,FW,16,11,851,1,0,0,0,0,0,1.5,0.7,0,14,3,0,35,0
jan bednarek,21,17.0,DF,5,5,426,1,0,0,0,1,0,0.2,0.0,0,5,2,0,22,49
christian benteke,26,11.0,FW,31,24,2240,3,5,1,1,6,0,10.2,2.9,0,36,6,0,84,33
harry kane,24,3.0,FW,37,35,3076,30,2,2,1,5,0,24.8,2.7,0,34,15,0,217,160
ademola lookman,19,8.0,"FW,MF",7,1,159,0,0,0,0,0,0,0.1,0.5,0,6,0,0,10,34
fousseni diabate,21,9.0,"MF,FW",14,5,587,0,1,0,0,1,0,0.5,0.3,0,12,0,0,21,1
ethan ampadu,16,5.0,DF,1,0,11,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
luke shaw,22,2.0,DF,11,8,790,0,0,0,0,2,0,0.4,0.4,0,2,7,0,48,91
alex oxlade-chamberlain,23,5.0,DF,35,17,1734,3,7,0,0,3,0,2.5,4.3,0,56,10,0,188,2
ben mee,27,7.0,DF,29,29,2610,0,0,0,0,5,0,1.9,0.5,0,27,9,0,90,81
heurelho gomes,36,14.0,GK,24,24,2128,0,0,0,0,0,0,0.0,0.0,0,40,5,61,64,0
emerson hyndman,21,12.0,MF,1,1,58,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,1
david de gea,26,2.0,GK,37,37,3330,0,0,0,0,0,0,0.0,0.0,0,28,18,115,172,120
mario lemina,23,17.0,MF,25,20,1720,1,1,0,0,2,0,0.8,0.7,0,31,4,0,58,50
nikola vlasic,19,8.0,"MF,FW",12,7,576,0,0,0,0,0,0,0.3,0.8,0,12,1,0,18,0
danny simpson,30,9.0,DF,28,27,2306,0,0,0,0,4,0,0.2,0.1,0,41,5,0,55,12
christian eriksen,25,3.0,"MF,FW",37,37,3218,10,10,0,0,0,0,7.0,11.6,0,33,17,0,199,161
raheem sterling,22,1.0,FW,33,29,2587,18,11,1,0,4,2,16.2,7.3,0,23,13,0,229,234
guido carrillo,26,17.0,FW,7,5,450,0,1,0,0,0,0,0.7,0.4,0,8,1,0,15,0
sandro ramirez,22,8.0,"FW,MF",8,3,278,0,0,0,0,0,0,0.5,0.0,0,7,1,0,10,0
marouane fellaini,29,2.0,MF,16,5,683,4,0,0,0,1,0,3.5,0.2,0,1,4,0,47,26
shkodran mustafi,25,6.0,DF,27,25,2273,3,1,0,0,6,0,0.8,1.3,0,30,10,0,109,80
xherdan shaqiri,25,19.0,"MF,FW",36,36,3039,8,7,0,1,5,0,5.0,7.1,0,58,6,0,155,88
jordan henderson,27,4.0,MF,27,25,2171,1,1,0,0,1,0,1.2,1.8,0,21,14,0,75,76
georginio wijnaldum,26,4.0,MF,33,27,2387,1,2,0,0,1,0,2.8,1.2,0,23,15,0,85,108
lewis cook,20,12.0,MF,29,25,2237,0,2,0,0,5,0,0.5,1.6,0,42,3,0,58,22
michel vorm,33,3.0,GK,1,1,90,0,0,0,0,0,0,0.0,0.0,0,1,0,4,3,5
theo walcott,28,7.0,FW,20,13,1221,3,3,0,0,2,0,2.5,2.4,0,34,8,0,124,101
david silva,31,1.0,MF,29,28,2430,9,11,0,0,5,0,7.2,8.4,0,18,14,0,169,143
sergio romero,30,2.0,GK,1,1,90,0,0,0,0,0,0,0.0,0.0,0,0,1,3,7,0
danny williams,28,16.0,MF,20,11,1124,0,0,0,0,2,0,0.4,0.2,0,22,0,0,28,6
erik lamela,25,3.0,"FW,MF",25,7,843,2,2,0,0,4,0,3.4,2.0,0,12,4,0,55,67
granit xhaka,24,6.0,MF,38,37,3260,1,7,0,0,10,0,2.4,3.4,0,50,12,0,109,90
tomer hemed,30,15.0,FW,16,9,849,2,2,0,0,0,0,1.9,0.1,0,8,3,0,43,0
harry maguire,24,9.0,DF,38,38,3420,2,4,0,0,7,0,2.8,4.1,0,60,9,0,117,92
oumar niasse,27,8.0,FW,22,10,1087,8,2,0,0,2,0,7.0,1.4,0,23,0,0,83,30
cuco martina,27,8.0,DF,21,20,1830,0,2,0,0,2,0,0.1,1.4,0,30,5,0,55,0
sebastian prodl,30,14.0,DF,21,17,1570,0,0,0,0,5,0,0.6,0.2,0,29,5,0,42,1
willian,28,5.0,"MF,FW",36,20,1890,6,7,1,0,1,0,5.5,5.3,0,19,9,0,130,108
eden hazard,26,5.0,"FW,MF",34,28,2422,12,4,2,0,2,0,7.7,6.4,0,27,12,0,173,238
scott malone,26,16.0,DF,22,12,1119,0,1,0,0,3,0,0.5,0.5,0,23,3,0,41,0
charlie taylor,23,7.0,DF,11,10,950,0,0,0,0,3,0,0.0,0.2,0,12,2,0,23,82
jonjo shelvey,25,10.0,MF,30,25,2270,1,3,0,0,3,3,2.4,2.5,0,30,6,0,73,39
peter crouch,36,19.0,FW,31,14,1567,5,2,0,0,4,0,4.2,2.8,0,27,2,0,73,8
ben foster,34,20.0,GK,37,37,3330,0,0,0,0,2,0,0.0,0.1,0,55,10,99,123,129
jurgen locadia,23,15.0,"FW,MF",6,3,224,1,1,0,0,0,0,1.1,0.1,0,8,1,0,16,52
matty james,26,9.0,MF,13,11,993,0,0,0,0,2,0,1.3,0.1,0,15,4,0,26,0
mark noble,30,13.0,MF,29,28,2400,4,0,2,0,6,0,2.4,1.8,0,45,7,0,84,99
dejan lovren,28,4.0,DF,29,24,2127,2,1,0,0,4,0,1.4,1.3,0,24,11,0,110,63
bakary sako,29,11.0,"FW,MF",16,4,478,3,0,0,0,0,0,1.9,1.1,0,10,1,0,36,4
morgan schneiderlin,27,8.0,MF,30,24,2130,0,0,0,0,5,2,0.4,0.2,0,38,6,0,52,28
cesar azpilicueta,27,5.0,DF,37,37,3330,2,6,0,0,1,0,1.3,4.8,1,38,15,0,175,158
wilfried zaha,24,11.0,"FW,MF",29,28,2549,9,3,0,0,5,0,9.2,4.7,0,31,10,0,136,143
alex iwobi,21,6.0,"MF,FW",26,22,1830,3,5,0,0,1,0,3.9,3.5,0,26,9,0,89,99
javier manquillo,23,10.0,DF,21,20,1758,0,1,0,0,2,0,0.1,1.3,0,31,4,0,49,53
gary cahill,31,5.0,DF,27,24,2086,0,0,0,0,1,1,0.5,0.1,0,27,9,0,74,2
jason puncheon,31,11.0,MF,10,6,645,0,0,0,0,5,0,1.2,0.5,0,14,0,0,11,15
phil foden,17,1.0,"MF,FW",5,0,49,0,1,0,0,0,0,0.0,0.3,0,1,0,0,8,25
richarlison,20,14.0,"FW,MF",38,32,2823,5,4,0,0,4,0,10.3,3.4,0,54,8,0,125,153
daryl janmaat,28,14.0,DF,23,21,1820,3,0,0,0,3,0,1.8,1.0,0,37,2,0,59,50
chris wood,25,7.0,FW,24,20,1624,10,1,0,0,1,0,7.0,0.6,0,11,10,0,104,131
jeff hendrick,25,7.0,"FW,MF",34,29,2331,2,2,0,0,1,0,2.0,2.7,0,28,9,0,85,73
markus suttner,30,15.0,DF,14,13,1179,0,0,0,0,0,0,0.1,0.3,0,18,4,0,38,0
jonathan hogg,28,16.0,MF,30,29,2398,0,0,0,0,9,2,0.4,0.4,0,40,7,0,53,54
jordan hugill,25,13.0,FW,3,0,25,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
maya yoshida,28,17.0,DF,24,23,2051,2,0,0,0,3,2,2.0,0.4,0,32,6,0,76,44
eric dier,23,3.0,"MF,DF",34,32,2824,0,2,0,0,4,0,2.0,1.7,0,30,15,0,85,56
loris karius,24,4.0,GK,19,19,1710,0,0,0,0,1,0,0.0,0.0,0,14,10,31,88,0
james ward-prowse,22,17.0,"FW,MF",30,20,1716,3,3,0,0,3,0,2.2,2.8,0,29,2,0,84,94
roberto firmino,25,4.0,FW,37,32,2763,15,7,1,0,1,0,10.7,6.5,0,32,16,0,181,160
elias kachunga,25,16.0,"FW,MF",19,17,1329,1,1,0,0,1,0,1.9,0.6,0,23,6,0,46,29
declan rice,18,13.0,"DF,MF",26,15,1430,0,0,0,0,1,0,0.2,0.1,0,29,3,0,41,92
robbie brady,25,7.0,MF,15,15,1277,1,2,0,0,3,0,1.2,2.1,0,12,6,0,56,20
sam vokes,27,7.0,FW,30,7,998,4,1,0,0,3,0,2.8,1.3,0,16,2,0,63,48
aaron mooy,26,16.0,MF,36,34,3067,4,3,1,0,4,0,3.0,4.0,0,52,10,0,113,76
craig cathcart,28,14.0,DF,7,5,523,0,0,0,0,1,0,0.1,0.0,0,6,1,0,14,93
jerome sinclair,20,14.0,"MF,FW",4,0,31,0,0,0,0,0,0,0.0,0.0,0,1,0,0,4,0
scott mctominay,20,2.0,MF,13,7,634,0,0,0,0,2,0,0.0,0.0,0,3,4,0,21,38
demarai gray,21,9.0,"MF,FW",35,17,1697,3,1,0,0,2,0,2.5,3.4,0,35,4,0,80,84
mohamed diame,30,10.0,MF,31,23,2041,2,0,0,0,3,0,1.4,0.7,0,27,6,0,70,56
dele alli,21,3.0,"MF,FW",36,34,2958,9,10,0,0,7,0,9.1,8.2,0,28,16,0,175,94
kieran trippier,26,3.0,DF,24,21,1914,0,5,0,0,1,0,0.4,4.2,0,21,9,0,113,118
ben davies,24,3.0,DF,29,26,2324,2,6,0,0,3,0,1.1,3.2,0,20,12,0,143,66
aaron lennon,30,7.5,"FW,MF",29,22,1911,0,2,0,0,2,0,0.8,1.0,0,60,12,0,130,41
jordan pickford,23,8.0,GK,38,38,3420,0,0,0,0,0,0,0.0,0.1,0,58,10,121,145,161
sadio mane,25,4.0,FW,29,28,2190,10,7,0,0,3,1,10.6,5.4,0,24,15,0,147,231
davy klaassen,24,8.0,"MF,FW",7,3,251,0,0,0,0,0,0,0.1,0.1,0,6,0,0,7,0
junior stanislas,27,12.0,"MF,FW",19,17,1286,5,2,1,0,1,0,3.9,1.9,0,22,2,0,75,56
will hughes,22,14.0,MF,15,11,990,2,3,0,0,0,0,0.6,1.5,0,16,4,0,53,87
nacho monreal,31,6.0,DF,28,26,2243,5,2,0,0,3,0,1.7,2.6,0,29,10,0,130,77
angelo ogbonna,29,13.0,DF,32,32,2880,1,0,0,0,3,0,0.7,0.5,0,60,7,0,77,48
glenn murray,33,15.0,FW,35,25,2192,12,0,4,2,9,0,11.9,1.6,0,36,8,0,111,129
dominic solanke,19,4.0,FW,21,5,596,1,1,0,0,0,0,3.5,2.6,0,4,3,0,38,15
hamza choudhury,19,9.0,"MF,DF",8,4,378,0,1,0,0,1,0,0.0,0.4,0,9,0,0,13,20
davy propper,25,15.0,MF,35,35,3119,0,4,0,0,2,1,1.9,1.4,0,50,9,0,87,72
patrick van aanholt,26,11.0,DF,28,25,2184,5,1,0,0,7,0,3.1,2.1,0,38,6,0,95,140
joel ward,27,11.0,DF,19,19,1613,0,1,0,0,4,0,0.2,0.9,1,25,4,0,41,13
kevin de bruyne,26,1.0,MF,37,36,3073,8,16,0,0,2,0,5.1,11.1,0,22,19,0,209,59
laurent depoitre,28,16.0,FW,33,18,1820,6,1,0,0,1,0,3.7,1.4,0,34,4,0,94,34
james tomkins,28,11.0,DF,28,27,2387,3,0,0,0,8,0,2.2,0.1,0,32,9,0,99,86
juan mata,29,2.0,FW,28,23,1922,3,5,0,0,1,0,3.7,4.5,0,10,15,0,100,70
sam baldock,28,15.0,FW,2,0,32,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0
henrikh mkhitaryan,28,4.0,"FW,MF",26,20,1716,3,9,0,0,2,0,2.3,5.8,0,34,24,0,214,98
matt ritchie,27,10.0,"MF,FW",35,32,2804,3,5,0,0,6,0,3.1,6.0,0,35,9,0,116,110
dale stephens,28,15.0,MF,36,36,3240,0,3,0,0,6,0,1.2,2.3,0,50,10,0,87,65
thibaut courtois,25,5.0,GK,35,35,3150,0,0,0,0,2,0,0.0,0.0,0,34,15,77,136,0
chris smalling,27,2.0,DF,29,28,2536,4,0,0,0,4,0,1.7,0.2,0,24,11,0,123,56
sullay kaikai,21,11.0,MF,1,0,14,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
aleksandar mitrovic,22,10.0,FW,6,0,95,1,0,0,0,0,0,1.2,0.2,0,0,0,0,10,134
juan mata,31,3.0,"MF,FW",19,8,758,0,2,0,0,1,0,1.1,2.1,0,8,4,0,38,32
cesar azpilicueta,29,4.0,DF,36,36,3229,2,6,0,0,1,0,2.4,6.0,0,53,8,0,130,113
ørjan nyland,28,17.0,GK,7,5,539,0,0,0,0,0,0,0.0,0.0,0,12,1,15,15,0
davinson sanchez,23,6.0,DF,29,27,2431,0,0,0,0,6,0,0.6,0.0,0,37,4,0,64,43
jake vokins,19,11.0,DF,1,1,90,0,0,0,0,0,0,0.0,0.1,0,1,0,0,2,1
james tarkowski,26,10.0,DF,38,38,3420,2,2,0,0,10,0,2.1,3.1,0,50,15,0,143,109
jairo riedewald,22,14.0,"DF,MF",17,7,769,0,0,0,0,0,0,0.1,0.2,0,9,0,0,22,64
michy batshuayi,25,4.0,FW,16,1,239,1,1,0,0,0,0,2.4,0.2,0,8,0,0,28,41
luke thomas,18,5.0,"MF,DF",3,3,267,0,1,0,0,0,0,0.0,0.6,0,4,1,0,15,26
dennis praet,25,5.0,MF,27,12,1134,1,2,0,0,2,0,0.9,1.3,0,17,2,0,54,37
jeff hendrick,27,10.0,MF,24,22,1931,2,2,0,0,8,0,1.7,1.6,0,30,10,0,67,52
tanguy ndombele,22,6.0,MF,21,12,1009,2,2,0,0,3,0,0.4,0.7,0,17,1,0,45,99
fikayo tomori,21,4.0,DF,15,15,1291,1,0,0,0,3,0,0.4,0.1,0,18,4,0,48,0
daniel james,21,3.0,FW,33,26,2287,3,6,0,0,4,0,3.1,3.9,0,29,7,0,95,43
