,Name,Clean Sheets,Goals Conceded,Own Goals,Saves,Cost,Points
0,name,Clean Sheets,Conceded,Own Goals,Saves,Cost,Points
257,michael keane,1,13,0,0,42,18
258,neal maupay,4,37,0,0,49,76
259,dwight mcneil,12,39,0,0,54,124
260,vitalii mykolenko,9,37,0,0,45,101
261,amadou onana,5,38,0,0,47,66
262,nathan patterson,2,21,0,0,43,34
263,jordan pickford,13,51,1,121,48,153
264,ellis simms,0,0,0,0,45,0
265,james tarkowski,13,51,0,0,46,117
266,joao neves virginia,0,0,0,0,39,0
267,andreas hoelgebaum pereira,14,40,0,0,53,127
268,tom cairney,4,27,1,0,49,70
269,ivan neves abreu cavaleiro,0,0,0,0,50,0
270,bobby de cordova-reid,3,29,0,0,52,92
271,issa diop,5,26,0,0,44,43
272,tyrese francois,0,0,0,0,44,0
273,anthony knockaert,0,0,0,0,44,0
274,terence kongolo,0,0,0,0,40,0
275,bernd leno,10,61,1,134,48,133
276,sasa lukic,5,20,0,0,43,43
277,kevin mbabu,0,0,0,0,40,0
278,aleksandar mitrovic,0,0,0,0,74,1
279,rodrigo muniz carvalho,6,27,0,0,43,97
280,joao palhinha goncalves,9,46,0,0,50,91
281,tim ream,3,31,0,0,44,40
282,harrison reed,6,23,0,0,43,47
283,antonee robinson,9,60,2,0,45,104
284,marek rodak,0,0,0,0,39,-1
285,kenny tete,2,21,0,0,44,27
286,tosin adarabioyo,6,25,0,0,43,66
287,carlos vinicius alves morais,0,5,0,0,45,22
288,harry wilson,5,30,0,0,53,94
289,adrian san miguel del castillo,0,0,0,0,38,0
290,trent alexander-arnold,8,28,0,0,84,122
291,alisson ramses becker,8,30,0,83,57,107
292,stefan bajcetic,0,2,0,0,47,1
293,darwin nunez ribeiro,6,25,0,0,75,132
294,diogo teixeira da silva,5,11,0,0,79,110
295,harvey elliott,4,13,0,0,48,96
296,fabio henrique tavares,0,0,0,0,50,0
297,cody gakpo,5,20,0,0,71,106
298,joe gomez,7,19,0,0,45,76
299,jordan henderson,0,0,0,0,50,0
300,curtis jones,2,19,0,0,49,40
301,caoimhin kelleher,2,11,0,28,36,34
302,ibrahima konate,6,19,0,0,49,56
303,luis diaz,7,33,0,0,76,142
304,alexis mac allister,6,34,0,0,59,109
305,joel matip,2,9,1,0,48,21
306,nathaniel phillips,0,0,0,0,40,0
307,andrew robertson,3,22,0,0,65,76
308,mohamed salah,8,30,0,0,134,211
309,dominik szoboszlai,8,23,0,0,71,99
310,thiago alcantara do nascimento,0,1,0,0,47,1
311,konstantinos tsimikas,4,7,0,0,43,48
312,sepp van den berg,0,0,0,0,40,0
313,virgil van dijk,9,40,0,0,66,117
314,elijah adebayo,2,36,0,0,48,94
315,mads juel andersen,0,6,0,0,38,15
316,amari’i bell,2,41,0,0,38,35
317,luke berry,0,8,0,0,46,31
318,reece burke,1,37,0,0,40,40
319,allan campbell,0,0,0,0,49,0
320,jordan clark,1,41,0,0,48,44
321,alfie doughty,2,74,0,0,43,101
322,luke freeman,0,0,0,0,49,0
323,matt macey,0,0,0,0,40,0
324,john mcatee,0,0,0,0,45,0
325,carlos mendes gomes,0,0,0,0,45,0
326,carlton morris,3,72,0,0,47,146
327,admiral muskwe,0,0,0,0,45,0
328,chiedozie ogbene,2,47,0,0,48,84
329,fred onyedinma,0,14,0,0,50,11
330,gabriel osho,2,47,0,0,44,41
331,aribim pepple,0,0,0,0,45,0
332,dion pereira,0,0,0,0,44,0
333,dan potts,0,0,0,0,39,0
334,glen rea,0,0,0,0,44,0
335,james shea,0,0,0,2,42,1
336,joe taylor,0,0,0,0,45,0
337,elliot thorpe,0,0,0,0,45,0
338,jack walton,0,0,0,0,40,0
339,louie watson,0,0,0,0,44,0
340,cauley woodrow,0,11,0,0,43,33
341,manuel akanji,11,23,0,0,50,112
342,nathan ake,6,20,0,0,50,99
343,julian alvarez,12,24,0,0,64,158
344,bernardo veiga de carvalho e silva,10,26,0,0,62,141
345,oscar bobb,1,5,0,0,44,30
346,joao cancelo,0,0,0,0,58,0
347,scott carson,0,0,0,0,38,0
348,shea charles,0,0,0,0,45,0
349,kevin de bruyne,7,8,0,0,106,98
350,ruben gato alves dias,9,28,1,0,55,88
351,tommy doyle,3,24,0,0,44,38
352,ederson santana de moraes,11,27,0,57,55,112
353,phil foden,14,27,0,0,85,230
354,jack grealish,3,13,0,0,72,50
355,erling haaland,11,25,0,0,143,217
356,mateo kovacic,9,14,0,0,46,59
357,aymeric laporte,0,0,0,0,49,1
358,rico lewis,4,9,0,0,42,52
359,riyad mahrez,0,0,0,0,75,0
360,james mcatee,2,65,0,0,44,77
361,stefan ortega moreno,1,7,0,20,36,22
362,cole palmer,7,46,0,0,63,244
363,maximo perrone,0,0,0,0,44,0
364,kalvin phillips,0,13,0,0,47,10
365,rodrigo hernandez,14,26,0,0,56,159
366,sergio gomez,0,2,0,0,38,9
367,zack steffen,0,0,0,0,39,0
368,john stones,5,9,0,0,53,53
369,kyle walker,10,29,0,0,55,123
370,alex telles,0,0,0,0,45,0
371,amad diallo,1,6,0,0,44,23
372,antony matheus dos santos,3,26,0,0,68,47
373,bruno borges fernandes,7,52,0,0,85,166
374,brandon williams,0,0,0,0,40,0
375,eric bailly,0,0,0,0,40,0
376,carlos henrique casimiro,5,34,0,0,53,58
377,diogo dalot teixeira,8,55,0,0,52,111
378,anthony elanga,2,47,0,0,49,119
379,christian eriksen,2,27,0,0,58,48
380,alvaro fernandez carreras,0,0,0,0,40,0
381,frederico rodrigues de paula santos,0,0,0,0,50,0
382,alejandro garnacho,8,39,0,0,50,131
383,hannibal mejbri,1,1,0,0,43,11
384,tom heaton,0,0,0,0,39,0
385,dean henderson,4,30,2,58,44,48
386,victor lindelof,5,16,0,0,45,62
387,harry maguire,4,29,0,0,43,73
388,kobbie mainoo,7,31,0,0,44,77
389,tyrell malacia,0,0,0,0,43,0
390,anthony martial,1,6,0,0,64,25
391,lisandro martinez,1,12,1,0,47,15
392,scott mctominay,7,30,0,0,45,98
393,teden mengi,1,59,0,0,39,42
394,facundo pellistri rebollo,0,2,0,0,42,13
395,raphael varane,3,23,0,0,49,44
396,marcus rashford,7,37,0,0,84,108
397,jadon sancho,0,1,0,0,67,3
398,luke shaw,4,13,0,0,52,31
399,shola shoretire,0,0,0,0,44,0
400,donny van de beek,0,0,0,0,47,1
401,aaron wan-bissaka,3,34,0,0,44,47
402,miguel almiron rejala,5,40,0,0,60,77
403,elliot anderson,5,14,0,0,42,42
404,harrison ashby,0,0,0,0,40,0
405,sven botman,3,29,1,0,45,51
406,bruno guimaraes rodriguez moura,10,60,0,0,58,153
407,dan burn,8,45,0,0,47,97
408,karl darlow,0,0,0,0,40,0
409,martin dubravka,4,42,0,88,43,75
410,ryan fraser,0,0,0,0,49,0
411,mark gillespie,0,0,0,0,39,0
412,anthony gordon,12,48,0,0,64,183
413,isaac hayden,0,0,0,0,44,0
414,jeff hendrick,0,0,0,0,44,0
415,alexander isak,7,41,0,0,84,172
416,joelinton cassio apolinario de lira,3,23,0,0,58,45
417,emil krafth,3,15,0,0,44,33
418,garang kuol,0,0,0,0,45,0
419,jamaal lascelles,5,15,0,0,37,46
420,jamal lewis,0,0,0,0,40,0
421,sean longstaff,10,50,0,0,48,110
422,javier manquillo gaitan,0,0,0,0,40,0
423,jacob murphy,5,21,0,0,48,82
424,nick pope,6,16,0,43,53,57
425,matt ritchie,0,5,0,0,43,17
426,allan saint-maximin,0,0,0,0,60,0
427,fabian schar,9,58,0,0,56,123
428,matt targett,0,4,0,0,42,2
429,sandro tonali,1,5,0,0,52,16
430,kieran trippier,6,43,0,0,66,111
431,kell watts,0,0,0,0,40,0
432,joe willock,1,9,0,0,53,18
433,callum wilson,6,15,0,0,78,69
434,brandon aguilera zamora,0,0,0,0,45,1
435,harry arter,0,0,0,0,43,0
436,serge aurier,1,15,0,0,45,27
437,taiwo awoniyi,3,21,0,0,63,67
438,giulian biancone,0,0,0,0,39,0
439,willy boly,3,26,0,0,45,58
440,josh bowler,0,0,0,0,45,0
441,steve cook,0,0,0,0,45,0
442,danilo dos santos de oliveira,1,42,0,0,53,65
443,emmanuel dennis,0,0,0,0,48,0
444,mohamed drager,0,0,0,0,40,0
445,felipe augusto de almeida monteiro,1,10,0,0,44,7
446,remo freuler,0,0,0,0,49,0
447,morgan gibbs-white,5,59,0,0,57,142
448,wayne hennessey,0,0,0,0,39,0
449,ethan horvath,0,0,0,0,43,0
450,brennan johnson,5,42,0,0,58,131
451,cheikhou kouyate,0,6,0,0,48,12
452,richie laryea,0,0,0,0,45,0
453,orel mangala,3,31,0,0,50,40
454,loic mbe soh,0,0,0,0,40,0
455,scott mckenna,1,6,0,0,44,12
456,alex mighten,0,0,0,0,44,0
457,moussa niakhate,1,36,0,0,45,29
458,lewis o’brien,0,0,0,0,49,0
459,braian ojeda rodriguez,0,0,0,0,45,0
460,jonathan panzo,0,0,0,0,40,0
461,omar richards,0,0,0,0,44,0
462,gustavo henrique furtado scarpa,0,0,0,0,45,0
463,jonjo shelvey,0,0,0,0,48,0
464,sam surridge,0,0,0,0,45,0
465,harry toffolo,2,29,0,0,44,52
466,hwang ui-jo,0,0,0,0,44,0
467,neco williams,1,33,0,0,43,39
468,chris wood,2,34,0,0,47,131
469,joe worrall,1,9,0,0,43,13
470,ryan yates,1,38,0,0,48,59
471,anel ahmedhodzic,1,89,0,0,43,31
472,jordan amissah,0,0,0,0,39,0
473,george baldock,0,21,0,0,38,21
474,chris basham,0,6,0,0,39,8
475,sander berge,2,70,0,0,46,74
476,jayden bogle,3,79,1,0,45,63
477,rhian brewster,0,8,0,0,49,11
478,ismaila coulibaly,0,0,0,0,44,0
479,adam davies,0,0,0,0,40,0
480,john egan,0,17,0,0,42,1
481,john fleck,0,5,0,0,49,3
482,wes foderingham,1,79,1,133,44,70
483,daniel jebbison,0,0,0,0,48,1
484,max lowe,0,12,0,0,43,13
485,oliver mcburnie,1,43,0,0,54,66
486,iliman ndiaye,0,0,0,0,55,0
487,rhys norrington-davies,0,6,0,0,39,2
488,oliver norwood,0,47,0,0,48,42
489,ben osborn,0,40,1,0,48,38
490,william osula,0,23,0,0,42,25
491,brandon austin,0,0,0,0,39,0
492,rodrigo bentancur,1,25,0,0,54,32
493,yves bissouma,7,35,0,0,50,44
494,bryan gil salvatierra,0,11,0,0,49,12
495,ben davies,1,21,0,0,43,34
496,eric dier,0,8,0,0,42,2
497,emerson leite de souza junior,0,31,0,0,43,27
498,fraser forster,0,0,0,0,38,0
499,pierre-emile højbjerg,1,28,1,0,51,39
500,harry kane,0,0,0,0,125,0
501,dejan kulusevski,8,46,0,0,67,130
502,hugo lloris,0,0,0,0,47,0
503,giovani lo celso,1,12,0,0,48,47
504,james maddison,7,31,0,0,78,117
505,tanguy ndombele alvaro,0,0,0,0,44,0
506,pedro porro,7,54,0,0,59,136
507,ivan perisic,0,1,0,0,47,6
508,sergio reguilon,5,30,0,0,45,74
509,richarlison de andrade,7,18,0,0,68,122
510,joe rodon,0,0,0,0,40,0
511,cristian romero,7,46,1,0,51,107
512,davinson sanchez,0,2,0,0,44,0
513,pape matar sarr,9,27,0,0,44,86
514,ryan sessegnon,0,0,0,0,44,0
515,oliver skipp,0,17,0,0,45,22
516,son heung-min,8,51,1,0,100,213
